uniqu.name.id,group.nd.name,variants_count,variants_joined,collab_n,collab_start_week,collab_end_week
1,10CM,1,10CM,1,2024-W03,2024-W04
1,10CM,1,10CM,2,2024-W07,2024-W08
1,10CM,1,10CM,3,2025-W30,2025-W35
2,2PM 옥택연,4,2PM 옥택연 | 옥택연 2PM | 옥택연 투피엠 | 투피엠 옥택연,1,2023-W52,2023-W52
3,2PM 장우영,4,2PM 장우영 | 장우영 2PM | 장우영 투피엠 | 투피엠 장우영,1,2025-W37,2025-W41
4,2PM 준케이,4,2PM 준케이 | 준케이 2PM | 준케이 투피엠 | 투피엠 준케이,1,2025-W37,2025-W39
5,82메이저 김도균,4,82MAJOR 김도균 | 82메이저 김도균 | 김도균 82MAJOR | 김도균 82메이저,1,2024-W17,2024-W19
5,82메이저 김도균,4,82MAJOR 김도균 | 82메이저 김도균 | 김도균 82MAJOR | 김도균 82메이저,2,2024-W41,2024-W46
5,82메이저 김도균,4,82MAJOR 김도균 | 82메이저 김도균 | 김도균 82MAJOR | 김도균 82메이저,3,2025-W15,2025-W18
5,82메이저 김도균,4,82MAJOR 김도균 | 82메이저 김도균 | 김도균 82MAJOR | 김도균 82메이저,4,2025-W22,2025-W29
5,82메이저 김도균,4,82MAJOR 김도균 | 82메이저 김도균 | 김도균 82MAJOR | 김도균 82메이저,5,2025-W37,2025-W41
5,82메이저 김도균,4,82MAJOR 김도균 | 82메이저 김도균 | 김도균 82MAJOR | 김도균 82메이저,6,2025-W43,2025-W46
6,82메이저 남성모,4,82MAJOR 남성모 | 82메이저 남성모 | 남성모 82MAJOR | 남성모 82메이저,1,2024-W17,2024-W19
6,82메이저 남성모,4,82MAJOR 남성모 | 82메이저 남성모 | 남성모 82MAJOR | 남성모 82메이저,2,2024-W41,2024-W46
6,82메이저 남성모,4,82MAJOR 남성모 | 82메이저 남성모 | 남성모 82MAJOR | 남성모 82메이저,3,2025-W15,2025-W18
6,82메이저 남성모,4,82MAJOR 남성모 | 82메이저 남성모 | 남성모 82MAJOR | 남성모 82메이저,4,2025-W22,2025-W29
6,82메이저 남성모,4,82MAJOR 남성모 | 82메이저 남성모 | 남성모 82MAJOR | 남성모 82메이저,5,2025-W37,2025-W41
6,82메이저 남성모,4,82MAJOR 남성모 | 82메이저 남성모 | 남성모 82MAJOR | 남성모 82메이저,6,2025-W43,2025-W46
7,82메이저 박석준,4,82MAJOR 박서준 | 82메이저 박서준 | 박서준 82MAJOR | 박서준 82메이저,1,2025-W22,2025-W23
8,82메이저 박석준,4,82MAJOR 박석준 | 82메이저 박석준 | 박석준 82MAJOR | 박석준 82메이저,1,2024-W17,2024-W19
8,82메이저 박석준,4,82MAJOR 박석준 | 82메이저 박석준 | 박석준 82MAJOR | 박석준 82메이저,2,2024-W41,2024-W46
8,82메이저 박석준,4,82MAJOR 박석준 | 82메이저 박석준 | 박석준 82MAJOR | 박석준 82메이저,3,2025-W15,2025-W18
8,82메이저 박석준,4,82MAJOR 박석준 | 82메이저 박석준 | 박석준 82MAJOR | 박석준 82메이저,4,2025-W23,2025-W29
8,82메이저 박석준,4,82MAJOR 박석준 | 82메이저 박석준 | 박석준 82MAJOR | 박석준 82메이저,5,2025-W37,2025-W41
8,82메이저 박석준,4,82MAJOR 박석준 | 82메이저 박석준 | 박석준 82MAJOR | 박석준 82메이저,6,2025-W43,2025-W46
9,82메이저 윤예찬,4,82MAJOR 윤예찬 | 82메이저 윤예찬 | 윤예찬 82MAJOR | 윤예찬 82메이저,1,2024-W17,2024-W19
9,82메이저 윤예찬,4,82MAJOR 윤예찬 | 82메이저 윤예찬 | 윤예찬 82MAJOR | 윤예찬 82메이저,2,2024-W41,2024-W46
9,82메이저 윤예찬,4,82MAJOR 윤예찬 | 82메이저 윤예찬 | 윤예찬 82MAJOR | 윤예찬 82메이저,3,2025-W15,2025-W18
9,82메이저 윤예찬,4,82MAJOR 윤예찬 | 82메이저 윤예찬 | 윤예찬 82MAJOR | 윤예찬 82메이저,4,2025-W22,2025-W29
9,82메이저 윤예찬,4,82MAJOR 윤예찬 | 82메이저 윤예찬 | 윤예찬 82MAJOR | 윤예찬 82메이저,5,2025-W37,2025-W41
9,82메이저 윤예찬,4,82MAJOR 윤예찬 | 82메이저 윤예찬 | 윤예찬 82MAJOR | 윤예찬 82메이저,6,2025-W43,2025-W46
10,82메이저 조성일,4,82MAJOR 조성일 | 82메이저 조성일 | 조성일 82MAJOR | 조성일 82메이저,1,2024-W17,2024-W19
10,82메이저 조성일,4,82MAJOR 조성일 | 82메이저 조성일 | 조성일 82MAJOR | 조성일 82메이저,2,2024-W41,2024-W46
10,82메이저 조성일,4,82MAJOR 조성일 | 82메이저 조성일 | 조성일 82MAJOR | 조성일 82메이저,3,2025-W15,2025-W18
10,82메이저 조성일,4,82MAJOR 조성일 | 82메이저 조성일 | 조성일 82MAJOR | 조성일 82메이저,4,2025-W22,2025-W29
10,82메이저 조성일,4,82MAJOR 조성일 | 82메이저 조성일 | 조성일 82MAJOR | 조성일 82메이저,5,2025-W37,2025-W41
10,82메이저 조성일,4,82MAJOR 조성일 | 82메이저 조성일 | 조성일 82MAJOR | 조성일 82메이저,6,2025-W43,2025-W46
11,82메이저 황성빈,4,82MAJOR 황성빈 | 82메이저 황성빈 | 황성빈 82MAJOR | 황성빈 82메이저,1,2024-W17,2024-W19
11,82메이저 황성빈,4,82MAJOR 황성빈 | 82메이저 황성빈 | 황성빈 82MAJOR | 황성빈 82메이저,2,2024-W41,2024-W46
11,82메이저 황성빈,4,82MAJOR 황성빈 | 82메이저 황성빈 | 황성빈 82MAJOR | 황성빈 82메이저,3,2025-W15,2025-W18
11,82메이저 황성빈,4,82MAJOR 황성빈 | 82메이저 황성빈 | 황성빈 82MAJOR | 황성빈 82메이저,4,2025-W22,2025-W29
11,82메이저 황성빈,4,82MAJOR 황성빈 | 82메이저 황성빈 | 황성빈 82MAJOR | 황성빈 82메이저,5,2025-W37,2025-W41
11,82메이저 황성빈,4,82MAJOR 황성빈 | 82메이저 황성빈 | 황성빈 82MAJOR | 황성빈 82메이저,6,2025-W43,2025-W46
12,A20 MAY 미쉐,4,A20 MAY 미쉐 | 미쉐 A20 MAY | 미쉐 에이 투 오 메이 | 에이 투 오 메이 미쉐,1,2025-W47,2025-W48
